drainage,habitat,treatment,sl
Yarra,High predation,Predator cue present,14.335
Yarra,High predation,Predator cue present,14.656
Yarra,Low predation,Predator cue absent,16.4
Yarra,Low predation,Predator cue absent,18.437
Yarra,Low predation,Predator cue absent,17.618
Yarra,Low predation,Predator cue absent,17.15
Yarra,Low predation,Predator cue absent,15.741
Yarra,Low predation,Predator cue absent,16.078
Yarra,Low predation,Predator cue absent,16.762
Yarra,Low predation,Predator cue absent,17.821
Yarra,Low predation,Predator cue absent,16.555
Yarra,Low predation,Predator cue absent,16.532
Yarra,Low predation,Predator cue absent,16.168
Yarra,Low predation,Predator cue absent,15.767
Yarra,Low predation,Predator cue absent,17.096
Yarra,Low predation,Predator cue absent,15.675
Yarra,Low predation,Predator cue absent,15.516
Yarra,Low predation,Predator cue absent,16.155
Yarra,Low predation,Predator cue present,18.088
Yarra,Low predation,Predator cue present,14.811
Yarra,Low predation,Predator cue present,15.088
Yarra,Low predation,Predator cue present,15.393
Yarra,Low predation,Predator cue present,16.281
Yarra,Low predation,Predator cue present,15.687
Yarra,Low predation,Predator cue present,15.552
Yarra,Low predation,Predator cue present,15.742
Yarra,Low predation,Predator cue present,15.457
Yarra,Low predation,Predator cue present,16.615
Yarra,Low predation,Predator cue present,16.219
Yarra,Low predation,Predator cue present,14.542
Yarra,Low predation,Predator cue present,14.999
Yarra,Low predation,Predator cue present,15.734
